__metadata,ID,ROW_ID,PLANT,STORAGE_LOCATION,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,CURRENT_INVENTORY,QUANTITY_SOLD,UNIT,NB_STEPS_AVAILABLE,SIM_ELAPSED_STEPS
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~1,1,CC,02,CC-F01,500g Nut Muesli,3272,26728,ST,14,14
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~2,2,CC,02,CC-F02,500g Blueberry Muesli,0,30000,ST,14,14
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~3,3,CC,02,CC-F03,500g Strawberry Muesli,0,30000,ST,14,14
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~4,4,CC,02,CC-F04,500g Raisin Muesli,10755,19245,ST,14,14
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~5,5,CC,02,CC-F05,500g Original Muesli,0,0,ST,0,14
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~6,6,CC,02,CC-F06,500g Mixed Fruit Muesli,0,0,ST,0,14
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~7,7,CC,02,CC-F11,1kg Nut Muesli,0,30000,ST,7,14
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~8,8,CC,02,CC-F12,1kg Blueberry Muesli,0,30000,ST,13,14
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~9,9,CC,02,CC-F13,1kg Strawberry Muesli,0,30000,ST,14,14
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~10,10,CC,02,CC-F14,1kg Raisin Muesli,0,30000,ST,13,14
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~11,11,CC,02,CC-F15,1kg Original Muesli,0,0,ST,0,14
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory_KPI('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory_KPI'}",.1~12,12,CC,02,CC-F16,1kg Mixed Fruit Muesli,0,0,ST,0,14
