__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,PURCHASING_ORDER,VENDOR,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,UNIT_PRICE,CURRENCY,QUANTITY,STATUS,UNIT,GOODS_RECEIPT_ROUND,GOODS_RECEIPT_STEP,GOODS_RECEIPT_DATE
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~1,1,JJ,01,04,01/04,1,4,4500000136,V01,JJ-R01,Nuts,1.82,EUR,24000.000,Delivered,KG,01,06,01/06
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~2,2,JJ,01,04,01/04,1,4,4500000136,V01,JJ-R02,Blueberries,4.00,EUR,24000.000,Delivered,KG,01,06,01/06
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~3,3,JJ,01,04,01/04,1,4,4500000136,V01,JJ-R03,Strawberries,4.02,EUR,24000.000,Delivered,KG,01,06,01/06
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~4,4,JJ,01,04,01/04,1,4,4500000136,V01,JJ-R04,Raisins,1.07,EUR,24000.000,Delivered,KG,01,06,01/06
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~5,5,JJ,01,04,01/04,1,4,4500000136,V01,JJ-R05,Wheat,0.99,EUR,132000.000,Delivered,KG,01,06,01/06
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~6,6,JJ,01,04,01/04,1,4,4500000136,V01,JJ-R06,Oats,0.92,EUR,132000.000,Delivered,KG,01,06,01/06
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~7,7,JJ,01,04,01/04,1,4,4500000137,V02,JJ-P01,Large Box (1kg),0.28,EUR,240000,Delivered,ST,01,06,01/06
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~8,8,JJ,01,04,01/04,1,4,4500000137,V02,JJ-P02,Large Bag (1kg),0.12,EUR,240000,Delivered,ST,01,06,01/06
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~9,9,JJ,01,04,01/04,1,4,4500000137,V02,JJ-P03,Small Box (500g),0.21,EUR,240000,Delivered,ST,01,06,01/06
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~10,10,JJ,01,04,01/04,1,4,4500000137,V02,JJ-P04,Small Bag (500g),0.09,EUR,240000,Delivered,ST,01,06,01/06
