__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,YIELD,UNIT
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~1,1,JJ,02,01,02/01,5,21,JJ-F01,500g Nut Muesli,2.4E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~2,2,JJ,02,02,02/02,5,22,JJ-F01,500g Nut Muesli,1.6E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~3,3,JJ,02,03,02/03,5,23,JJ-F02,500g Blueberry Muesli,2.4E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~4,4,JJ,02,04,02/04,5,24,JJ-F04,500g Raisin Muesli,4E3,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~5,5,JJ,02,04,02/04,5,24,JJ-F02,500g Blueberry Muesli,1.6E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~6,6,JJ,02,05,02/05,5,25,JJ-F04,500g Raisin Muesli,2.4E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~7,7,JJ,02,06,02/06,6,26,JJ-F03,500g Strawberry Muesli,8E3,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~8,8,JJ,02,06,02/06,6,26,JJ-F04,500g Raisin Muesli,1.2E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~9,9,JJ,02,07,02/07,6,27,JJ-F03,500g Strawberry Muesli,2.4E4,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production'}",.1~10,10,JJ,02,08,02/08,6,28,JJ-F03,500g Strawberry Muesli,8E3,ST
