__metadata,ID,ROW_ID,COMPANY_CODE,SALES_ORGANIZATION,SIM_ROUND,SIM_PERIOD,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,AREA,QUANTITY,UNIT,AVERAGE_PRICE,NET_VALUE,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~1,1,JJ,Market,01,1,500g Nut Muesli,12,South,3330,ST,7.00,23310.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~2,2,JJ,Market,01,1,500g Nut Muesli,12,West,1586,ST,7.00,11102.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~3,3,JJ,Market,01,1,500g Nut Muesli,14,North,11583,ST,3.90,45173.70,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~4,4,JJ,Market,01,1,500g Nut Muesli,14,South,3501,ST,3.90,13653.90,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~5,5,JJ,Market,01,2,1kg Blueberry Muesli,10,South,9999,ST,5.26,52594.74,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~6,6,JJ,Market,01,2,1kg Blueberry Muesli,12,North,102,ST,5.26,536.52,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~7,7,JJ,Market,01,2,1kg Blueberry Muesli,12,South,18103,ST,5.26,95221.78,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~8,8,JJ,Market,01,2,1kg Blueberry Muesli,12,West,1796,ST,5.26,9446.96,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~9,9,JJ,Market,01,2,500g Blueberry Muesli,12,North,26153,ST,4.23,110627.19,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~10,10,JJ,Market,01,2,500g Blueberry Muesli,12,South,27450,ST,4.79,127786.26,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~11,11,JJ,Market,01,2,500g Blueberry Muesli,12,West,25902,ST,5.15,126088.51,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~12,12,JJ,Market,01,2,500g Strawberry Muesli,12,North,11289,ST,5.02,55650.06,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~13,13,JJ,Market,01,2,500g Strawberry Muesli,12,South,17088,ST,4.40,74951.04,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~14,14,JJ,Market,01,2,500g Strawberry Muesli,12,West,8859,ST,5.12,43103.25,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~15')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~15')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~15,15,JJ,Market,01,2,500g Blueberry Muesli,14,North,5232,ST,5.89,30956.58,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~16')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~16')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~16,16,JJ,Market,01,2,500g Blueberry Muesli,14,South,11423,ST,5.26,57130.66,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~17')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~17')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~17,17,JJ,Market,01,2,500g Blueberry Muesli,14,West,6565,ST,5.33,33886.11,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~18')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~18')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~18,18,JJ,Market,01,2,500g Raisin Muesli,14,South,1197,ST,7.00,8379.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~19')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~19')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~19,19,JJ,Market,01,2,500g Strawberry Muesli,14,North,10829,ST,4.23,45806.67,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~20')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~20')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~20,20,JJ,Market,01,2,500g Strawberry Muesli,14,South,13163,ST,4.92,60369.10,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~21')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~21')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~21,21,JJ,Market,01,2,500g Strawberry Muesli,14,West,16875,ST,4.50,72347.98,EUR
