__metadata,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,SALES_ORDER_NUMBER,LINE_ITEM,STORAGE_LOCATION,AREA,DISTRIBUTION_CHANNEL,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,QUANTITY,QUANTITY_DELIVERED,UNIT,NET_PRICE,NET_VALUE,COST,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~1,1,JJ,02,02,02/02,5,22,879,2,02,North,12,JJ-F01,500g Nut Muesli,2017,2017,ST,4.50,9076.50,1815.30,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~2,2,JJ,02,02,02/02,5,22,879,1,02,North,12,JJ-F01,500g Nut Muesli,2014,2014,ST,4.50,9063.00,1812.60,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~3,3,JJ,02,02,02/02,5,22,875,2,02,North,12,JJ-F01,500g Nut Muesli,2042,2042,ST,4.50,9189.00,1837.80,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~4,4,JJ,02,02,02/02,5,22,875,1,02,North,12,JJ-F01,500g Nut Muesli,2041,2041,ST,4.50,9184.50,1836.90,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~5,5,JJ,02,02,02/02,5,22,871,2,02,North,12,JJ-F01,500g Nut Muesli,2304,2304,ST,4.50,10368.00,2073.60,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~6,6,JJ,02,02,02/02,5,22,871,1,02,North,12,JJ-F01,500g Nut Muesli,2490,2490,ST,4.50,11205.00,2241.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~7,7,JJ,02,02,02/02,5,22,868,3,02,South,12,JJ-F01,500g Nut Muesli,2419,2419,ST,4.50,10885.50,2177.10,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~8,8,JJ,02,02,02/02,5,22,868,2,02,South,12,JJ-F01,500g Nut Muesli,2015,2015,ST,4.50,9067.50,1813.50,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~9,9,JJ,02,02,02/02,5,22,868,1,02,South,12,JJ-F01,500g Nut Muesli,2023,2023,ST,4.50,9103.50,1820.70,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~10,10,JJ,02,02,02/02,5,22,865,1,02,South,12,JJ-F01,500g Nut Muesli,2567,2567,ST,4.50,11551.50,2310.30,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~11,11,JJ,02,02,02/02,5,22,865,2,02,South,12,JJ-F01,500g Nut Muesli,2068,2068,ST,4.50,9306.00,1861.20,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~12,12,JJ,02,03,02/03,5,23,893,1,02,West,12,JJ-F01,500g Nut Muesli,2088,2088,ST,4.50,9396.00,1879.20,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~13,13,JJ,02,03,02/03,5,23,893,2,02,West,12,JJ-F01,500g Nut Muesli,2173,2173,ST,4.50,9778.50,1955.70,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Sales('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Sales'}",.1~14,14,JJ,02,03,02/03,5,23,893,3,02,West,12,JJ-F01,500g Nut Muesli,2546,2546,ST,4.50,11457.00,2291.40,EUR
