__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,GL_ACCOUNT_NUMBER,GL_ACCOUNT_NAME,FS_LEVEL_1,FS_LEVEL_2,FS_LEVEL_3,FS_LEVEL_4,DEBIT_CREDIT_INDICATOR,AMOUNT,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~1,1,JJ,01,01,01/01,1,1,1000,Land,Balance Sheet,Assets,Long-Term Assets,,Debit,500000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~2,2,JJ,01,01,01/01,1,1,2000,Buildings,Balance Sheet,Assets,Long-Term Assets,,Debit,1500000.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~454')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~454')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~454,454,JJ,03,13,03/13,11,53,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,-54400.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~455')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~455')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~455,455,JJ,03,13,03/13,11,53,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Debit,54400.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~22')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~22')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~22,22,JJ,01,06,01/06,2,6,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Debit,681960.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~444')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~444')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~444,444,JJ,03,12,03/12,11,52,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,-95062.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~345')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~345')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~345,345,JJ,03,04,03/04,9,44,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,-35200.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~445')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~445')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~445,445,JJ,03,12,03/12,11,52,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Debit,95062.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~346')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~346')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~346,346,JJ,03,04,03/04,9,44,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Debit,35200.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~21')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~21')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~21,21,JJ,01,06,01/06,2,6,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,-681960.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~466')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~466')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~466,466,JJ,03,14,03/14,11,54,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,-258868.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~467')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~467')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~467,467,JJ,03,14,03/14,11,54,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Debit,258868.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~333')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~333')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~333,333,JJ,03,03,03/03,9,43,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Credit,-164296.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~334')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~334')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~334,334,JJ,03,03,03/03,9,43,191100,GR/IR Clearing - External procurement,Balance Sheet,Liabilities and Owners' Equity,Liabilities,Current Liabilities,Debit,164296.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~43')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~43')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~43,43,JJ,01,15,01/15,3,15,476900,Interest expenses,Income Statement,"Sales, General, and Administrative Expenses",Interest Expenses,,Debit,12837.15,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~13,13,JJ,01,05,01/05,1,5,476900,Interest expenses,Income Statement,"Sales, General, and Administrative Expenses",Interest Expenses,,Debit,12527.63,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~482')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~482')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~482,482,JJ,03,15,03/15,11,55,476900,Interest expenses,Income Statement,"Sales, General, and Administrative Expenses",Interest Expenses,,Debit,11336.10,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~294')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~294')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~294,294,JJ,02,20,02/20,8,40,476900,Interest expenses,Income Statement,"Sales, General, and Administrative Expenses",Interest Expenses,,Debit,12837.15,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~56')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Financial_Postings('.1~56')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Financial_Postings'}",.1~56,56,JJ,01,20,01/20,4,20,476900,Interest expenses,Income Statement,"Sales, General, and Administrative Expenses",Interest Expenses,,Debit,13223.10,EUR
