__metadata,ID,ROW_ID,PLANT,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,STORAGE_LOCATION,STOCK,RESTRICTED,UNIT
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~1,1,CC,CC-F01,500g Nut Muesli,02,3272,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~2,2,CC,CC-F02,500g Blueberry Muesli,02,0,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~3,3,CC,CC-F03,500g Strawberry Muesli,02,0,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~4,4,CC,CC-F04,500g Raisin Muesli,02,10755,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~5,5,CC,CC-F05,500g Original Muesli,02,0,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~6,6,CC,CC-F06,500g Mixed Fruit Muesli,02,0,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~7,7,CC,CC-F11,1kg Nut Muesli,02,0,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~8,8,CC,CC-F12,1kg Blueberry Muesli,02,0,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~9,9,CC,CC-F13,1kg Strawberry Muesli,02,0,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~10,10,CC,CC-F14,1kg Raisin Muesli,02,0,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~11,11,CC,CC-F15,1kg Original Muesli,02,0,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~12,12,CC,CC-F16,1kg Mixed Fruit Muesli,02,0,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~13,13,CC,CC-P01,Large Box (1kg),88,128000,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~14,14,CC,CC-P02,Large Bag (1kg),88,128000,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~15')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~15')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~15,15,CC,CC-P03,Small Box (500g),88,128000,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~16')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~16')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~16,16,CC,CC-P04,Small Bag (500g),88,128000,0,ST
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~17')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~17')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~17,17,CC,CC-R01,Nuts,88,14400.000,0.000,KG
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~18')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~18')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~18,18,CC,CC-R02,Blueberries,88,14400.000,0.000,KG
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~19')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~19')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~19,19,CC,CC-R03,Strawberries,88,14400.000,0.000,KG
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~20')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Current_Inventory('.1~20')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Current_Inventory'}",.1~20,20,CC,CC-R04,Raisins,88,14400.000,0.000,KG
