__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,BANK_CASH_ACCOUNT,ACCOUNTS_RECEIVABLE,BANK_LOAN,ACCOUNTS_PAYABLE,PROFIT,SETUP_TIME_INVESTMENT,DEBT_LOADING,CREDIT_RATING,COMPANY_RISK_RATE_PCT,MARKET_RISK_RATE_PCT,COMPANY_VALUATION,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~1,1,JJ,01,01,01/01,1,1,3000000.00,0.00,-8000000.00,0.00,0.00,0.00,-4000000.00,A+,4.75,7.00,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~2,2,JJ,01,02,01/02,1,2,3000000.00,0.00,-8000000.00,0.00,0.00,0.00,-4000000.00,A+,4.75,7.00,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~3,3,JJ,01,03,01/03,1,3,3000000.00,0.00,-8000000.00,0.00,0.00,0.00,-4000000.00,A+,4.75,7.00,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~4,4,JJ,01,04,01/04,1,4,3000000.00,0.00,-8000000.00,0.00,0.00,0.00,-4000000.00,A+,4.75,7.00,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~5,5,JJ,01,05,01/05,1,5,2906772.37,0.00,-8000000.00,0.00,-144477.63,0.00,-4093227.63,A+,4.75,7.00,-59020648.85,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~6,6,JJ,01,06,01/06,2,6,2906772.37,0.00,-8000000.00,-681960.00,-144477.63,0.00,-5775187.63,A,5.00,7.00,-48159210.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~7,7,JJ,01,07,01/07,2,7,2906772.37,0.00,-8000000.00,-681960.00,-144477.63,0.00,-5775187.63,A,5.00,7.00,-41279322.86,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~8,8,JJ,01,08,01/08,2,8,2906772.37,0.00,-8000000.00,-681960.00,-144477.63,0.00,-5775187.63,A,5.00,7.00,-36119407.50,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~9,9,JJ,01,09,01/09,2,9,2906772.37,0.00,-8000000.00,-681960.00,-144477.63,0.00,-5775187.63,A,5.00,7.00,-32106140.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Company_Valuation('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Company_Valuation'}",.1~10,10,JJ,01,10,01/10,2,10,2754232.60,0.00,-8000000.00,-681960.00,-348267.40,0.00,-5927727.40,A,5.00,7.00,-69653480.00,EUR
