__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,PRODUCTION_ORDER,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,BEGIN_ROUND,BEGIN_STEP,END_ROUND,END_STEP,TARGET_QUANTITY,CONFIRMED_QUANTITY,UNIT,SETUP_TIME
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~1,1,CC,02,01,02/01,5,21,1000002,CC-F01,500g Nut Muesli,02,01,02,02,16000,16000,ST,0
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~2,2,CC,02,01,02/01,5,21,1000003,CC-F01,500g Nut Muesli,02,02,02,03,16000,16000,ST,0
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~3,3,CC,02,01,02/01,5,21,1000004,CC-F02,500g Blueberry Muesli,02,03,02,04,16000,0,ST,8
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~4,4,CC,02,01,02/01,5,21,1000005,CC-F02,500g Blueberry Muesli,02,04,02,05,16000,0,ST,0
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~5,5,CC,02,01,02/01,5,21,1000006,CC-F03,500g Strawberry Muesli,02,05,02,06,16000,0,ST,8
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~6,6,CC,02,01,02/01,5,21,1000007,CC-F03,500g Strawberry Muesli,02,06,02,07,16000,0,ST,0
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~7,7,CC,02,01,02/01,5,21,1000008,CC-F04,500g Raisin Muesli,02,08,02,09,16000,0,ST,8
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~8,8,CC,02,01,02/01,5,21,1000009,CC-F04,500g Raisin Muesli,02,09,02,10,16000,0,ST,0
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~9,9,CC,02,01,02/01,5,21,1000035,CC-F11,1kg Nut Muesli,02,10,02,11,16000,0,ST,8
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~10,10,CC,02,01,02/01,5,21,1000037,CC-F11,1kg Nut Muesli,02,11,02,12,16000,0,ST,0
