__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,PRODUCTION_ORDER,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,BEGIN_ROUND,BEGIN_STEP,END_ROUND,END_STEP,TARGET_QUANTITY,CONFIRMED_QUANTITY,UNIT,SETUP_TIME
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~1,1,JJ,00,00,,0,0,1000297,JJ-F12,1kg Blueberry Muesli,04,02,04,04,48000,0,ST,4
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~2,2,JJ,00,00,,0,0,1000298,JJ-F12,1kg Blueberry Muesli,04,04,04,05,23000,0,ST,0
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~3,3,JJ,00,00,,0,0,1000299,JJ-F13,1kg Strawberry Muesli,04,05,04,07,35000,0,ST,4
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~4,4,JJ,02,01,02/01,5,21,1000227,JJ-F01,500g Nut Muesli,02,01,02,02,40000,40000,ST,0
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~5,5,JJ,02,01,02/01,5,21,1000228,JJ-F02,500g Blueberry Muesli,02,03,02,04,40000,40000,ST,8
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~6,6,JJ,02,01,02/01,5,21,1000230,JJ-F04,500g Raisin Muesli,02,04,02,06,40000,40000,ST,4
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~7,7,JJ,02,01,02/01,5,21,1000229,JJ-F03,500g Strawberry Muesli,02,06,02,08,40000,40000,ST,4
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~8,8,JJ,02,01,02/01,5,21,1000231,JJ-F05,500g Original Muesli,02,08,02,10,40000,40000,ST,4
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~9,9,JJ,02,01,02/01,5,21,1000232,JJ-F06,500g Mixed Fruit Muesli,02,10,02,12,40000,40000,ST,4
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~10,10,JJ,02,01,02/01,5,21,1000233,JJ-F11,1kg Nut Muesli,02,12,02,13,40000,40000,ST,4
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~11,11,JJ,02,01,02/01,5,21,1000235,JJ-F13,1kg Strawberry Muesli,02,14,02,15,40000,40000,ST,4
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~12,12,JJ,02,01,02/01,5,21,1000234,JJ-F12,1kg Blueberry Muesli,02,15,02,17,40000,40000,ST,4
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~13,13,JJ,02,01,02/01,5,21,1000236,JJ-F14,1kg Raisin Muesli,02,17,02,19,40000,40000,ST,4
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Production_Orders('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Production_Orders'}",.1~14,14,JJ,02,01,02/01,5,21,1000237,JJ-F15,1kg Original Muesli,02,19,03,01,40000,40000,ST,4
