__metadata,ID,ROW_ID,COMPANY_CODE,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,PURCHASING_ORDER,VENDOR,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,UNIT_PRICE,CURRENCY,QUANTITY,STATUS,UNIT,GOODS_RECEIPT_ROUND,GOODS_RECEIPT_STEP,GOODS_RECEIPT_DATE
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~1,1,CC,01,01,01/01,1,1,4500000005,V03,CC-F01,500g Nut Muesli,0.90,EUR,30000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~2,2,CC,01,01,01/01,1,1,4500000009,V03,CC-F02,500g Blueberry Muesli,1.23,EUR,30000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~3,3,CC,01,01,01/01,1,1,4500000015,V03,CC-F03,500g Strawberry Muesli,1.23,EUR,30000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~4,4,CC,01,01,01/01,1,1,4500000020,V03,CC-F04,500g Raisin Muesli,0.79,EUR,30000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~5,5,CC,01,01,01/01,1,1,4500000024,V03,CC-F11,1kg Nut Muesli,1.62,EUR,30000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~6,6,CC,01,01,01/01,1,1,4500000030,V03,CC-F12,1kg Blueberry Muesli,2.27,EUR,30000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~7,7,CC,01,01,01/01,1,1,4500000035,V03,CC-F13,1kg Strawberry Muesli,2.28,EUR,30000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~8,8,CC,01,01,01/01,1,1,4500000039,V03,CC-F14,1kg Raisin Muesli,1.39,EUR,30000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~9,9,CC,01,01,01/01,1,1,4500000044,V02,CC-P03,Small Box (500g),0.21,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~10,10,CC,01,01,01/01,1,1,4500000044,V02,CC-P04,Small Bag (500g),0.09,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~11,11,CC,01,01,01/01,1,1,4500000049,V01,CC-R01,Nuts,1.82,EUR,4800.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~12,12,CC,01,01,01/01,1,1,4500000049,V01,CC-R05,Wheat,0.99,EUR,5600.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~13,13,CC,01,01,01/01,1,1,4500000049,V01,CC-R06,Oats,0.92,EUR,5600.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~14,14,CC,01,01,01/01,1,1,4500000054,V02,CC-P03,Small Box (500g),0.21,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~15')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~15')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~15,15,CC,01,01,01/01,1,1,4500000054,V02,CC-P04,Small Bag (500g),0.09,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~16')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~16')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~16,16,CC,01,01,01/01,1,1,4500000059,V01,CC-R02,Blueberries,4.00,EUR,4800.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~17')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~17')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~17,17,CC,01,01,01/01,1,1,4500000059,V01,CC-R05,Wheat,0.99,EUR,5600.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~18')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~18')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~18,18,CC,01,01,01/01,1,1,4500000059,V01,CC-R06,Oats,0.92,EUR,5600.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~19')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~19')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~19,19,CC,01,01,01/01,1,1,4500000064,V02,CC-P03,Small Box (500g),0.21,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~20')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~20')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~20,20,CC,01,01,01/01,1,1,4500000064,V02,CC-P04,Small Bag (500g),0.09,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~21')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~21')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~21,21,CC,01,01,01/01,1,1,4500000069,V01,CC-R03,Strawberries,4.02,EUR,4800.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~22')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~22')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~22,22,CC,01,01,01/01,1,1,4500000069,V01,CC-R05,Wheat,0.99,EUR,5600.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~23')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~23')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~23,23,CC,01,01,01/01,1,1,4500000069,V01,CC-R06,Oats,0.92,EUR,5600.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~24')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~24')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~24,24,CC,01,01,01/01,1,1,4500000074,V02,CC-P03,Small Box (500g),0.21,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~25')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~25')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~25,25,CC,01,01,01/01,1,1,4500000074,V02,CC-P04,Small Bag (500g),0.09,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~26')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~26')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~26,26,CC,01,01,01/01,1,1,4500000079,V01,CC-R04,Raisins,1.07,EUR,4800.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~27')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~27')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~27,27,CC,01,01,01/01,1,1,4500000079,V01,CC-R05,Wheat,0.99,EUR,5600.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~28')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~28')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~28,28,CC,01,01,01/01,1,1,4500000079,V01,CC-R06,Oats,0.92,EUR,5600.000,Delivered,KG,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~29')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~29')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~29,29,CC,01,01,01/01,1,1,4500000084,V02,CC-P01,Large Box (1kg),0.28,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~30')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~30')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~30,30,CC,01,01,01/01,1,1,4500000084,V02,CC-P02,Large Bag (1kg),0.12,EUR,32000,Delivered,ST,01,01,01/01
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~31')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Purchase_Orders('.1~31')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Purchase_Orders'}",.1~31,31,CC,01,01,01/01,1,1,4500000089,V01,CC-R01,Nuts,1.82,EUR,9600.000,Delivered,KG,01,01,01/01
