__metadata,ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,AREA,AMOUNT,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~1')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~1')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~1,1,CC,01,01,01/01,1,1,CC-F01,500g Nut Muesli,North,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~2')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~2')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~2,2,CC,01,01,01/01,1,1,CC-F02,500g Blueberry Muesli,North,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~3')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~3')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~3,3,CC,01,01,01/01,1,1,CC-F03,500g Strawberry Muesli,North,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~4')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~4')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~4,4,CC,01,01,01/01,1,1,CC-F04,500g Raisin Muesli,North,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~5')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~5')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~5,5,CC,01,01,01/01,1,1,CC-F05,500g Original Muesli,North,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~6')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~6')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~6,6,CC,01,01,01/01,1,1,CC-F06,500g Mixed Fruit Muesli,North,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~7')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~7')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~7,7,CC,01,01,01/01,1,1,CC-F11,1kg Nut Muesli,North,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~8')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~8')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~8,8,CC,01,01,01/01,1,1,CC-F12,1kg Blueberry Muesli,North,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~9')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~9')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~9,9,CC,01,01,01/01,1,1,CC-F13,1kg Strawberry Muesli,North,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~10')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~10')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~10,10,CC,01,01,01/01,1,1,CC-F14,1kg Raisin Muesli,North,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~11')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~11')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~11,11,CC,01,01,01/01,1,1,CC-F15,1kg Original Muesli,North,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~12')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~12')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~12,12,CC,01,01,01/01,1,1,CC-F16,1kg Mixed Fruit Muesli,North,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~13')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~13')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~13,13,CC,01,01,01/01,1,1,CC-F01,500g Nut Muesli,South,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~14')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~14')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~14,14,CC,01,01,01/01,1,1,CC-F02,500g Blueberry Muesli,South,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~15')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~15')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~15,15,CC,01,01,01/01,1,1,CC-F03,500g Strawberry Muesli,South,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~16')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~16')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~16,16,CC,01,01,01/01,1,1,CC-F04,500g Raisin Muesli,South,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~17')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~17')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~17,17,CC,01,01,01/01,1,1,CC-F05,500g Original Muesli,South,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~18')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~18')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~18,18,CC,01,01,01/01,1,1,CC-F06,500g Mixed Fruit Muesli,South,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~19')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~19')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~19,19,CC,01,01,01/01,1,1,CC-F11,1kg Nut Muesli,South,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~20')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~20')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~20,20,CC,01,01,01/01,1,1,CC-F12,1kg Blueberry Muesli,South,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~21')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~21')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~21,21,CC,01,01,01/01,1,1,CC-F13,1kg Strawberry Muesli,South,0.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~22')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Marketing_Expenses('.1~22')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Marketing_Expenses'}",.1~22,22,CC,01,01,01/01,1,1,CC-F14,1kg Raisin Muesli,South,0.00,EUR
